pickup_date,count,holiday,weekday
2015-08-16,550852,0,6
2015-08-17,535884,0,0
2015-08-18,579905,0,1
2015-08-19,599829,0,2
2015-08-20,621472,0,3
2015-08-21,623054,0,4
2015-08-22,601000,0,5
2015-08-23,529539,0,6
2015-08-24,507998,0,0
2015-08-25,546284,0,1
2015-08-26,563363,0,2
2015-08-27,587549,0,3
2015-08-28,599979,0,4
2015-08-29,598179,0,5
2015-08-30,552315,0,6
2015-08-31,520872,0,0
2015-09-01,587690,0,1
2015-09-02,613473,0,2
2015-09-03,640800,0,3
2015-09-04,636492,0,4
2015-09-05,596125,0,5
2015-09-06,546082,0,6
2015-09-07,493647,1,0
2015-09-08,631169,0,1
2015-09-09,678455,0,2
2015-09-10,734061,0,3
2015-09-11,722571,0,4
2015-09-12,768409,0,5
2015-09-13,661931,0,6
2015-09-14,574229,0,0
2015-09-15,623649,0,1
2015-09-16,679717,0,2
2015-09-17,704153,0,3
2015-09-18,742320,0,4
2015-09-19,769465,0,5
2015-09-20,673147,0,6
2015-09-21,600990,0,0
2015-09-22,604389,0,1
2015-09-23,585748,0,2
2015-09-24,566854,0,3
2015-09-25,644149,0,4
2015-09-26,747497,0,5
2015-09-27,652380,0,6
2015-09-28,555414,0,0
2015-09-29,612993,0,1
2015-09-30,647888,0,2
2015-10-01,739256,0,3
2015-10-02,832837,0,4
2015-10-03,765995,0,5
2015-10-04,660976,0,6
2015-10-05,608441,0,0
2015-10-06,651458,0,1
2015-10-07,692547,0,2
2015-10-08,734622,0,3
2015-10-09,764667,0,4
2015-10-10,782059,0,5
2015-10-11,687261,0,6
2015-10-12,579662,1,0
2015-10-13,668168,0,1
2015-10-14,694279,0,2
2015-10-15,736580,0,3
2015-10-16,793512,0,4
2015-10-17,836382,0,5
2015-10-18,732648,0,6
2015-10-19,658919,0,0
2015-10-20,669297,0,1
2015-10-21,694223,0,2
2015-10-22,740287,0,3
2015-10-23,793114,0,4
2015-10-24,811066,0,5
2015-10-25,710993,0,6
2015-10-26,642026,0,0
2015-10-27,679587,0,1
2015-10-28,756700,0,2
2015-10-29,743928,0,3
2015-10-30,815297,0,4
2015-10-31,846455,0,5
2015-11-01,749893,0,6
2015-11-02,632275,0,0
2015-11-03,650753,1,1
2015-11-04,692965,0,2
2015-11-05,744056,0,3
2015-11-06,779201,0,4
2015-11-07,818249,0,5
2015-11-08,717828,0,6
2015-11-09,641202,0,0
2015-11-10,723779,0,1
2015-11-11,671823,1,2
2015-11-12,756544,0,3
2015-11-13,807255,0,4
2015-11-14,846670,0,5
2015-11-15,714108,0,6
2015-11-16,635300,0,0
2015-11-17,697085,0,1
2015-11-18,714553,0,2
2015-11-19,799349,0,3
2015-11-20,802940,0,4
2015-11-21,829228,0,5
2015-11-22,706570,0,6
2015-11-23,680786,0,0
2015-11-24,703614,0,1
2015-11-25,687056,0,2
2015-11-26,523236,1,3
2015-11-27,526535,0,4
2015-11-28,638069,0,5
2015-11-29,618149,0,6
2015-11-30,644630,0,0
2015-12-01,721027,0,1
2015-12-02,721154,0,2
2015-12-03,770950,0,3
2015-12-04,818717,0,4
2015-12-05,842074,0,5
2015-12-06,733532,0,6
2015-12-07,683848,0,0
2015-12-08,713001,0,1
2015-12-09,732778,0,2
2015-12-10,768660,0,3
2015-12-11,823109,0,4
2015-12-12,848550,0,5
2015-12-13,719528,0,6
2015-12-14,702649,0,0
2015-12-15,732235,0,1
2015-12-16,783338,0,2
2015-12-17,844548,0,3
2015-12-18,893318,0,4
2015-12-19,895056,0,5
2015-12-20,739758,0,6
2015-12-21,657113,0,0
2015-12-22,679545,0,1
2015-12-23,685747,0,2
2015-12-24,596277,0,3
2015-12-25,429024,1,4
2015-12-26,474988,0,5
2015-12-27,522147,0,6
2015-12-28,563099,0,0
2015-12-29,580488,0,1
2015-12-30,606282,0,2
2015-12-31,667562,0,3
2016-01-01,688309,1,4
2016-01-02,594278,0,5
2016-01-03,571946,0,6
2016-01-04,613007,0,0
2016-01-05,656209,0,1
2016-01-06,650484,0,2
2016-01-07,672225,0,3
2016-01-08,732603,0,4
2016-01-09,744052,0,5
2016-01-10,671426,0,6
2016-01-11,646400,0,0
2016-01-12,674699,0,1
2016-01-13,737413,0,2
2016-01-14,742240,0,3
2016-01-15,763215,0,4
2016-01-16,770411,0,5
2016-01-17,720330,0,6
2016-01-18,629794,1,0
2016-01-19,738683,0,1
2016-01-20,717583,0,2
2016-01-21,758764,0,3
2016-01-22,820150,0,4
2016-01-23,171809,0,5
2016-01-24,332008,0,6
2016-01-25,590958,0,0
2016-01-26,658934,0,1
2016-01-27,696500,0,2
2016-01-28,736072,0,3
2016-01-29,815464,0,4
2016-01-30,845849,0,5
2016-01-31,699347,0,6
2016-02-01,649739,0,0
2016-02-02,678862,0,1
2016-02-03,737195,0,2
2016-02-04,752914,0,3
2016-02-05,812886,0,4
2016-02-06,831555,0,5
2016-02-07,732500,0,6
2016-02-08,668659,0,0
2016-02-09,698662,0,1
2016-02-10,753185,0,2
2016-02-11,853557,0,3
2016-02-12,884238,1,4
2016-02-13,934253,0,5
2016-02-14,846334,0,6
2016-02-15,679494,1,0
2016-02-16,716591,0,1
2016-02-17,735308,0,2
2016-02-18,791526,0,3
2016-02-19,833779,0,4
2016-02-20,834720,0,5
2016-02-21,727917,0,6
2016-02-22,666822,0,0
2016-02-23,780922,0,1
2016-02-24,805111,0,2
2016-02-25,798570,0,3
2016-02-26,861611,0,4
2016-02-27,861241,0,5
2016-02-28,717416,0,6
2016-02-29,668392,0,0
2016-03-01,702327,0,1
2016-03-02,771228,0,2
2016-03-03,813763,0,3
2016-03-04,855359,0,4
2016-03-05,867496,0,5
2016-03-06,736772,0,6
2016-03-07,664590,0,0
2016-03-08,699594,0,1
2016-03-09,722666,0,2
2016-03-10,767900,0,3
2016-03-11,822664,0,4
2016-03-12,847274,0,5
2016-03-13,702394,0,6
2016-03-14,750120,0,0
2016-03-15,717252,0,1
2016-03-16,753040,0,2
2016-03-17,772824,0,3
2016-03-18,839435,0,4
2016-03-19,849744,0,5
2016-03-20,750344,0,6
2016-03-21,666124,0,0
2016-03-22,698980,0,1
2016-03-23,728340,0,2
2016-03-24,784523,0,3
2016-03-25,773941,0,4
2016-03-26,791470,0,5
2016-03-27,691435,0,6
2016-03-28,674497,0,0
2016-03-29,709463,0,1
2016-03-30,729323,0,2
2016-03-31,738730,0,3
2016-04-01,830572,0,4
2016-04-02,879239,0,5
2016-04-03,777264,0,6
2016-04-04,762656,0,0
2016-04-05,783332,0,1
2016-04-06,783968,0,2
2016-04-07,813481,0,3
2016-04-08,882187,0,4
2016-04-09,930449,0,5
2016-04-10,771685,0,6
2016-04-11,701781,0,0
2016-04-12,760166,0,1
2016-04-13,764934,0,2
2016-04-14,811674,0,3
2016-04-15,866076,0,4
2016-04-16,896516,0,5
2016-04-17,773834,0,6
2016-04-18,692756,0,0
2016-04-19,724861,0,1
2016-04-20,764478,0,2
2016-04-21,772397,0,3
2016-04-22,789602,0,4
2016-04-23,805593,0,5
2016-04-24,713212,0,6
2016-04-25,648886,0,0
2016-04-26,720377,0,1
2016-04-27,726581,0,2
2016-04-28,780743,0,3
2016-04-29,840158,0,4
2016-04-30,840652,0,5
2016-05-01,763989,0,6
2016-05-02,705717,0,0
2016-05-03,799167,0,1
2016-05-04,811820,0,2
2016-05-05,858357,0,3
2016-05-06,936969,0,4
2016-05-07,884164,0,5
2016-05-08,772680,0,6
2016-05-09,690517,0,0
2016-05-10,737110,0,1
2016-05-11,756365,0,2
2016-05-12,804807,0,3
2016-05-13,846617,0,4
2016-05-14,893318,0,5
2016-05-15,815035,0,6
2016-05-16,736870,0,0
2016-05-17,779785,0,1
2016-05-18,773253,0,2
2016-05-19,813263,0,3
2016-05-20,847659,0,4
2016-05-21,898813,0,5
2016-05-22,744594,0,6
2016-05-23,691381,0,0
2016-05-24,743362,0,1
2016-05-25,770995,0,2
2016-05-26,790673,0,3
2016-05-27,779810,0,4
2016-05-28,737898,0,5
2016-05-29,660776,0,6
2016-05-30,569703,1,0
2016-05-31,693093,0,1
2016-06-01,744568,0,2
2016-06-02,800724,0,3
2016-06-03,846644,0,4
2016-06-04,880642,0,5
2016-06-05,743688,0,6
2016-06-06,723285,0,0
2016-06-07,767793,0,1
2016-06-08,821227,0,2
2016-06-09,816823,0,3
2016-06-10,843991,0,4
2016-06-11,841885,0,5
2016-06-12,712500,0,6
2016-06-13,686134,0,0
2016-06-14,734211,0,1
2016-06-15,779707,0,2
2016-06-16,824912,0,3
2016-06-17,828690,0,4
2016-06-18,815642,0,5
2016-06-19,717472,0,6
2016-06-20,690647,0,0
2016-06-21,743689,0,1
2016-06-22,771823,0,2
2016-06-23,811299,0,3
2016-06-24,832635,0,4
2016-06-25,848282,0,5
2016-06-26,729827,0,6
2016-06-27,737644,0,0
2016-06-28,727571,0,1
2016-06-29,736546,0,2
2016-06-30,744494,0,3
2016-07-01,744211,0,4
2016-07-02,634743,0,5
2016-07-03,573060,0,6
2016-07-04,526300,1,0
2016-07-05,633857,0,1
2016-07-06,656679,0,2
2016-07-07,735727,0,3
2016-07-08,765027,0,4
2016-07-09,756322,0,5
2016-07-10,671002,0,6
2016-07-11,645634,0,0
2016-07-12,701917,0,1
2016-07-13,768649,0,2
2016-07-14,793041,0,3
2016-07-15,818281,0,4
2016-07-16,800806,0,5
2016-07-17,718826,0,6
2016-07-18,704634,0,0
2016-07-19,715183,0,1
2016-07-20,745602,0,2
2016-07-21,777193,0,3
2016-07-22,833702,0,4
2016-07-23,818265,0,5
2016-07-24,719323,0,6
2016-07-25,713100,0,0
2016-07-26,736133,0,1
2016-07-27,760015,0,2
2016-07-28,792286,0,3
2016-07-29,821174,0,4
2016-07-30,821580,0,5
2016-07-31,701676,0,6
2016-08-01,667503,0,0
2016-08-02,701882,0,1
2016-08-03,723180,0,2
2016-08-04,757096,0,3
2016-08-05,774486,0,4
2016-08-06,765278,0,5
2016-08-07,677113,0,6
2016-08-08,635569,0,0
2016-08-09,697766,0,1
2016-08-10,740818,0,2
2016-08-11,797792,0,3
2016-08-12,829306,0,4
2016-08-13,818172,0,5
2016-08-14,696180,0,6
2016-08-15,675236,0,0
2016-08-16,725770,0,1
2016-08-17,731959,0,2
2016-08-18,756655,0,3
2016-08-19,783860,0,4
2016-08-20,762930,0,5
2016-08-21,700088,0,6
2016-08-22,631097,0,0
2016-08-23,668737,0,1
2016-08-24,703985,0,2
2016-08-25,741396,0,3
2016-08-26,766398,0,4
2016-08-27,765756,0,5
2016-08-28,693873,0,6
2016-08-29,646854,0,0
2016-08-30,667175,0,1
2016-08-31,710991,0,2
2016-09-01,746301,0,3
2016-09-02,724576,0,4
2016-09-03,692048,0,5
2016-09-04,642129,0,6
2016-09-05,568798,1,0
2016-09-06,707421,0,1
2016-09-07,755778,0,2
2016-09-08,818001,0,3
2016-09-09,878480,0,4
2016-09-10,916183,0,5
2016-09-11,774591,0,6
2016-09-12,676894,0,0
2016-09-13,739711,0,1
2016-09-14,779949,0,2
2016-09-15,805977,0,3
2016-09-16,853565,0,4
2016-09-17,879910,0,5
2016-09-18,771456,0,6
2016-09-19,673238,0,0
2016-09-20,705203,0,1
2016-09-21,719045,0,2
2016-09-22,774640,0,3
2016-09-23,830020,0,4
2016-09-24,892244,0,5
2016-09-25,770603,0,6
2016-09-26,696492,0,0
2016-09-27,742818,0,1
2016-09-28,788169,0,2
2016-09-29,817108,0,3
2016-09-30,896701,0,4
2016-10-01,854596,0,5
2016-10-02,747435,0,6
2016-10-03,631967,0,0
2016-10-04,684706,0,1
2016-10-05,768462,0,2
2016-10-06,815513,0,3
2016-10-07,831653,0,4
2016-10-08,900820,0,5
2016-10-09,790845,0,6
2016-10-10,643729,1,0
2016-10-11,693402,0,1
2016-10-12,674931,0,2
2016-10-13,808403,0,3
2016-10-14,863711,0,4
2016-10-15,896505,0,5
2016-10-16,779862,0,6
2016-10-17,688174,0,0
2016-10-18,730631,0,1
2016-10-19,779052,0,2
2016-10-20,819763,0,3
2016-10-21,907611,0,4
2016-10-22,964193,0,5
2016-10-23,799301,0,6
2016-10-24,711793,0,0
